<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210518,000000,143.5300000,144.5700000,141.2200000,141.9100000,714660
20210519,000000,140.9800000,143.7100000,140.7800000,141.9400000,517219
20210520,000000,141.6400000,142.8600000,140.7200000,142.3700000,390320
20210521,000000,142.6500000,143.0500000,141.6000000,141.7600000,335819
20210524,000000,141.7100000,142.4100000,141.3700000,141.7800000,268461
20210525,000000,141.8000000,142.6400000,141.0900000,142.3800000,314256
20210526,000000,142.5600000,142.8600000,141.8000000,142.2000000,270782
20210527,000000,143.1200000,143.6700000,141.7500000,141.7600000,370571
20210528,000000,142.0000000,142.4400000,141.6700000,142.0600000,233742
20210601,000000,142.4700000,142.7800000,141.2700000,141.6500000,261388
20210602,000000,141.5900000,141.5900000,140.1000000,141.3400000,263696
20210603,000000,141.2900000,141.8500000,140.7700000,141.6000000,213364
20210604,000000,141.8100000,142.2700000,141.2600000,141.8700000,148894
20210607,000000,141.8900000,141.8900000,140.4000000,140.8900000,207704
20210608,000000,140.8250000,140.8500000,139.8100000,139.8300000,237856
20210609,000000,139.7500000,140.0000000,139.0500000,139.0700000,233007
20210610,000000,139.2100000,140.1700000,139.1800000,139.8800000,184537
20210611,000000,140.2600000,140.8500000,139.8900000,140.7300000,290372
20210614,000000,140.4800000,140.6300000,140.0400000,140.5300000,173293
20210615,000000,140.7500000,140.8400000,139.6600000,140.0000000,245192
20210616,000000,139.9500000,140.0200000,137.0000000,137.0600000,485021
20210617,000000,137.0400000,138.3400000,136.7300000,137.7200000,279448
20210618,000000,135.3850000,136.3100000,134.4100000,135.1000000,465322
20210621,000000,135.6500000,136.7400000,135.4000000,136.3900000,292620
20210622,000000,136.3200000,137.7100000,136.2600000,137.0300000,262699
20210623,000000,136.6200000,136.9000000,135.9300000,135.9500000,290763
20210624,000000,136.2000000,137.2300000,136.1300000,136.9100000,452860
20210625,000000,137.1300000,138.8500000,136.9600000,138.5400000,509945
20210628,000000,138.1000000,138.6300000,137.9900000,138.1000000,248610
20210629,000000,138.0500000,138.4500000,137.2400000,137.2400000,413002
20210630,000000,139.3000000,142.5500000,139.1800000,141.0300000,679979
20210701,000000,140.6000000,141.2500000,139.0100000,139.3300000,478464
20210702,000000,139.6300000,141.0800000,139.5700000,140.1000000,386320
20210706,000000,139.8900000,140.7500000,139.5200000,139.9100000,366169
20210707,000000,140.2300000,141.1900000,139.3800000,139.6400000,364705
20210708,000000,138.6800000,140.6100000,138.6800000,139.5700000,351033
20210709,000000,140.4400000,140.8400000,139.9900000,140.2400000,272426
20210712,000000,140.5500000,140.5900000,139.3400000,139.9900000,163044
20210713,000000,139.9550000,141.1800000,139.9500000,140.5600000,263541
20210714,000000,140.6800000,141.8000000,139.8400000,141.5400000,287691
20210715,000000,141.9400000,142.6300000,141.1100000,141.6500000,286007
20210716,000000,141.6300000,142.1300000,140.9600000,141.5600000,228401
20210719,000000,141.4000000,142.9700000,139.7700000,141.2400000,457708
20210720,000000,140.9700000,142.4700000,140.8000000,141.8900000,298716
20210721,000000,142.5400000,142.5400000,140.7050000,141.1900000,252673
20210722,000000,141.0950000,142.1000000,140.8100000,141.2100000,229874
20210723,000000,141.4300000,142.7100000,141.1000000,142.4300000,325553
20210726,000000,142.2600000,143.8400000,141.4900000,142.6300000,259026
20210727,000000,142.8400000,142.9600000,142.0000000,142.6400000,236145
20210728,000000,142.4900000,143.2300000,141.7800000,142.0600000,220628
20210729,000000,142.5950000,142.8400000,142.0400000,142.2400000,233293
20210730,000000,141.2900000,142.9300000,141.2900000,142.5500000,299246
20210802,000000,142.6300000,142.6500000,141.7300000,142.2200000,192456
20210803,000000,142.4600000,143.8900000,142.3600000,143.8400000,354620
20210804,000000,143.7000000,143.9400000,142.7800000,142.8500000,197851
20210805,000000,144.3000000,145.5000000,144.0500000,145.5000000,489071
20210806,000000,146.2500000,146.3000000,144.9700000,145.2100000,325540
20210809,000000,145.8200000,146.4700000,145.4000000,145.5800000,296322
