<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210716,000000,74.3600000,74.3975000,73.9500000,74.0725000,2353559000
20210719,000000,74.1050000,74.7800000,74.1050000,74.6500000,2931357000
20210720,000000,74.7075000,74.7275000,74.3000000,74.3700000,2859899000
20210721,000000,74.4625000,74.5725000,73.9000000,74.0150000,2221200000
20210722,000000,74.0150000,74.0300000,73.5950000,73.7000000,2546837000
20210723,000000,73.7100000,73.8500000,73.5125000,73.7600000,2446643000
20210726,000000,73.8000000,74.2800000,73.6200000,73.6500000,2170795000
20210727,000000,73.7425000,73.9450000,73.5800000,73.7325000,2187711000
20210728,000000,73.7025000,73.8500000,73.3900000,73.4775000,2378760000
20210729,000000,73.7275000,73.7275000,73.0125000,73.1525000,2080068000
20210730,000000,73.1850000,73.4425000,72.6950000,73.1600000,2739620000
20210802,000000,73.2100000,73.2450000,72.6825000,73.0575000,1902573000
20210803,000000,73.0000000,73.2025000,72.7775000,72.9400000,2056028000
20210804,000000,72.9325000,73.2950000,72.7000000,73.1700000,2376896000
20210805,000000,73.1425000,73.2850000,72.9900000,73.0700000,2055119000
20210806,000000,72.8000000,73.5100000,72.8000000,73.4900000,2474400000
20210809,000000,73.5050000,73.7300000,73.3650000,73.6650000,1860502000
20210810,000000,73.6750000,74.0525000,73.5000000,73.9175000,1950303000
20210811,000000,73.9175000,74.1425000,73.3500000,73.3650000,2020864000
20210812,000000,73.3775000,73.6825000,73.3375000,73.5925000,1559175000
20210813,000000,73.5425000,73.6475000,73.1600000,73.2100000,1740277000
20210816,000000,73.2950000,73.5000000,73.1875000,73.2375000,1842518000
20210817,000000,73.3100000,73.6225000,73.3100000,73.5700000,2472398000
20210818,000000,73.5950000,73.8750000,73.3500000,73.8200000,1973826000
20210819,000000,73.9425000,74.3500000,73.8775000,74.2000000,3015442000
20210820,000000,74.2000000,74.5950000,74.1075000,74.2600000,2712173000
20210823,000000,74.0925000,74.2000000,73.9250000,74.1225000,1649195000
20210824,000000,74.1200000,74.1600000,73.7200000,73.7300000,1798185000
