<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210511,000000,11.5799000,11.5829000,11.5041000,11.5284000,56098000
20210512,000000,11.5251000,11.5679000,11.4861000,11.5600000,45074000
20210513,000000,11.5480000,11.5499000,11.4551000,11.4850000,84566000
20210514,000000,11.5004000,11.5119000,11.4580000,11.4909000,38438000
20210517,000000,11.4974000,11.5035000,11.4460000,11.4600000,44063000
20210518,000000,11.4769000,11.5050000,11.4580000,11.4640000,65257000
20210519,000000,11.4744000,11.4856000,11.4397000,11.4600000,90136000
20210520,000000,11.4709000,11.4709000,11.4201000,11.4380000,70423000
20210521,000000,11.4238000,11.4499000,11.4082000,11.4418000,91126000
20210524,000000,11.4426000,11.5014000,11.4300000,11.4680000,102637000
20210525,000000,11.4734000,11.4860000,11.4400000,11.4679000,55470000
20210526,000000,11.5000000,11.5497000,11.4775000,11.5135000,95566000
20210527,000000,11.5290000,11.5490000,11.5060000,11.5350000,120800000
20210528,000000,11.5699000,11.5700000,11.4801000,11.5040000,116668000
20210531,000000,11.4601000,11.5430000,11.4601000,11.5161000,35844000
20210601,000000,11.5176000,11.5420000,11.4756000,11.5130000,61666000
20210602,000000,11.5206000,11.5380000,11.4600000,11.4610000,72051000
20210603,000000,11.4500000,11.4775000,11.4350000,11.4480000,105559000
20210604,000000,11.4460000,11.4989000,11.3880000,11.4005000,64776000
20210607,000000,11.3880000,11.4192000,11.3800000,11.4100000,93258000
20210608,000000,11.6833000,11.6833000,11.1238000,11.3040000,92183000
20210609,000000,11.3040000,11.3300000,11.2666000,11.3280000,78968000
20210610,000000,11.3649000,11.3649000,11.2260000,11.2400000,79450000
20210611,000000,11.2515000,11.2959000,11.2000000,11.2800000,45315000
20210614,000000,11.5197000,11.5197000,11.2400000,11.2605000,5113000
20210615,000000,11.2999000,11.2999000,11.2047000,11.2740000,99863000
20210616,000000,11.4916000,11.4916000,11.2100000,11.2850000,89458000
20210617,000000,11.2839000,11.3065000,11.1831000,11.2000000,84907000
20210618,000000,11.2234000,11.2879000,11.1857000,11.2600000,72573000
20210621,000000,11.2151000,11.3219000,11.2151000,11.3200000,59053000
20210622,000000,11.2881000,11.3065000,11.2411000,11.2435000,91760000
20210623,000000,11.2379000,11.2444000,11.1773000,11.2190000,83864000
20210624,000000,11.2055000,11.2145000,11.1456000,11.1740000,68688000
20210625,000000,11.1826000,11.1900000,11.1616000,11.1844000,67850000
20210628,000000,11.1759000,11.1849000,11.1616000,11.1617000,67253000
20210629,000000,11.1721000,11.2799000,11.1721000,11.2700000,143748000
20210630,000000,11.0625000,11.3306000,11.0625000,11.3259000,155207000
20210701,000000,11.3090000,11.3619000,11.2637000,11.3485000,78293000
20210702,000000,11.3001000,11.3799000,11.3000000,11.3155000,95410000
20210705,000000,11.3414000,11.3845000,11.3350000,11.3670000,53898000
20210706,000000,11.3589000,11.5310000,11.3218000,11.4930000,72898000
20210707,000000,11.4944000,11.5650000,11.4390000,11.5420000,55455000
20210708,000000,11.5165000,11.6114000,11.4860000,11.5151000,168989000
20210709,000000,11.5149000,11.5229000,11.4378000,11.4750000,58223000
20210712,000000,11.2427000,11.5470000,11.2427000,11.4925000,71622000
20210713,000000,11.4841000,11.4928000,11.4273000,11.4685000,36335000
20210714,000000,11.4375000,11.7186000,11.4272000,11.4741000,59199000
20210715,000000,11.4790000,11.5199000,11.4668000,11.5157000,58743000
20210716,000000,11.5039000,11.5039000,11.4171000,11.4400000,63234000
20210719,000000,11.4479000,11.5158000,11.4396000,11.5000000,148758000
20210720,000000,11.5029000,11.5100000,11.4541000,11.4675000,66129000
20210721,000000,11.4781000,11.5103000,11.4336000,11.4480000,127332000
20210722,000000,11.4321000,11.4494000,11.3741000,11.3845000,88174000
20210723,000000,11.3874000,11.4020000,11.3470000,11.3940000,50242000
20210726,000000,11.3781000,11.4495000,11.3555000,11.3640000,83161000
20210727,000000,11.3746000,11.3939000,11.2900000,11.2980000,49956000
20210728,000000,11.3139000,11.3520000,11.2849000,11.3360000,243809000
20210729,000000,11.3470000,11.3530000,11.3051000,11.3230000,71501000
20210730,000000,11.3280000,11.3620000,11.2550000,11.3086000,72788000
20210802,000000,11.3221000,11.3274000,11.2500000,11.2960000,70219000
20210803,000000,11.3059000,11.3200000,11.2650000,11.2830000,87878000
20210804,000000,11.2904000,11.3400000,11.2655000,11.3325000,81927000
20210805,000000,11.3075000,11.3423000,11.3071000,11.3100000,125419000
20210806,000000,11.3141000,11.3400000,11.2965000,11.3400000,74068000
20210809,000000,11.3561000,11.3664000,11.3300000,11.3641000,68978000
20210810,000000,11.3639000,11.4149000,11.3445000,11.3923000,46011000
20210811,000000,11.3941000,11.4260000,11.3241000,11.3241000,126420000
20210812,000000,11.3314000,11.3757000,11.3280000,11.3650000,55152000
20210813,000000,11.3586000,11.3719000,11.2950000,11.3049000,49540000
20210816,000000,11.3182000,11.3459000,11.3100000,11.3100000,59501000
20210817,000000,11.3199000,11.3440000,11.3140000,11.3440000,76877000
20210818,000000,11.3389000,11.3900000,11.3140000,11.3885000,93480000
20210819,000000,11.3874000,11.4400000,11.3696000,11.4180000,168833000
20210820,000000,11.4019000,11.4673000,11.3900000,11.4301000,108698000
20210823,000000,11.4121000,11.4500000,11.3849000,11.4494000,35905000
20210824,000000,11.4325000,11.4325000,11.3900000,11.3940000,89874000
20210825,000000,11.3921000,11.4489000,11.3814000,11.4350000,82894000
20210826,000000,11.4151000,11.4904000,11.4103000,11.4480000,228283000
20210827,000000,11.4524000,11.4524000,11.3790000,11.3894000,56988000
20210830,000000,11.3669000,11.3962000,11.3600000,11.3720000,100597000
20210831,000000,11.3650000,11.3739000,11.3380000,11.3451000,42641000
20210901,000000,11.3514000,11.3514000,11.2916000,11.3150000,110984000
20210902,000000,11.3159000,11.3209000,11.2750000,11.3110000,261605000
20210903,000000,11.2994000,11.3230000,11.2756000,11.3030000,125580000
20210906,000000,11.2921000,11.3279000,11.2921000,11.3220000,94467000
20210907,000000,11.3144000,11.3539000,11.3050000,11.3475000,101137000
20210908,000000,11.3609000,11.3865000,11.3300000,11.3300000,64066000
20210909,000000,11.3379000,11.3454000,11.2920000,11.3160000,140138000
20210910,000000,11.3109000,11.3660000,11.3020000,11.3650000,42662000
20210913,000000,11.3320000,11.3514000,11.2800000,11.2800000,169736000
20210914,000000,11.2750000,11.3400000,11.2700000,11.3300000,188374000
20210915,000000,11.3229000,11.3456000,11.2420000,11.2500000,92997000
20210916,000000,11.2459000,11.2669000,11.2272000,11.2400000,181276000
20210917,000000,11.2650000,11.2800000,11.2201000,11.2615000,111264000
20210920,000000,11.2675000,11.3570000,11.2656000,11.3315000,105781000
20210921,000000,11.3300000,11.3305000,11.2592000,11.2799000,60860000
20210922,000000,11.2600000,11.3000000,11.2450000,11.3000000,70550000
20210923,000000,11.2350000,11.2817000,11.2350000,11.2700000,56546000
20210924,000000,11.5173000,11.5173000,11.2550000,11.2550000,170256000
20210927,000000,11.1957000,11.2575000,11.1957000,11.2355000,193758000
20210928,000000,11.2218000,11.2900000,11.2120000,11.2580000,265783000
20210929,000000,11.2618000,11.2750000,11.2380000,11.2575000,167698000
20210930,000000,11.2635000,11.3095000,11.2400000,11.2980000,175658000
20211001,000000,11.3059000,11.3850000,11.2941000,11.3225000,102285000
20211004,000000,11.3000000,11.3229000,11.2400000,11.2545000,91764000
20211005,000000,11.2629000,11.2820000,11.2200000,11.2235000,78277000
20211006,000000,11.2370000,11.2520000,11.2000000,11.2275000,94462000
20211007,000000,11.2240000,11.2300000,11.1160000,11.1210000,98183000
20211008,000000,11.1324000,11.1704000,11.1175000,11.1535000,117051000
20211011,000000,11.1500000,11.1539000,11.1000000,11.1148000,108280000
20211012,000000,11.1292000,11.1589000,11.1150000,11.1350000,172465000
20211013,000000,11.1390000,11.2205000,11.1325000,11.1985000,229553000
20211014,000000,11.1736000,11.1899000,11.0824000,11.0950000,157085000
20211015,000000,11.0863000,11.1091000,11.0225000,11.0445000,128627000
20211018,000000,11.0397000,11.1006000,11.0320000,11.0935000,68401000
