<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210903,000000,223.2700000,229.8500000,222.0100000,228.4800000,1048174
20210907,000000,228.3600000,228.9500000,225.2500000,226.5400000,680301
20210908,000000,224.8100000,226.0300000,219.7800000,223.3700000,808844
20210909,000000,223.0700000,225.3400000,221.3100000,221.7100000,651078
20210910,000000,223.2200000,226.2600000,222.7300000,224.7300000,968641
20210913,000000,226.9900000,229.5000000,218.6200000,221.5300000,891715
20210914,000000,222.7500000,224.0500000,220.9800000,222.5100000,548191
20210915,000000,223.0500000,223.5600000,219.7100000,223.4200000,383009
20210916,000000,221.6100000,222.7300000,219.2800000,222.3800000,426659
20210917,000000,223.2000000,223.2000000,218.4800000,219.0000000,712731
20210920,000000,211.3400000,214.3300000,206.6800000,211.2600000,1030259
20210921,000000,213.9100000,214.0500000,209.5100000,212.4000000,563702
20210922,000000,213.6900000,219.5800000,211.9700000,219.5600000,744049
20210923,000000,221.2000000,225.3400000,219.0000000,224.8200000,789539
20210924,000000,220.7200000,221.4700000,218.6200000,220.8600000,686323
20210927,000000,217.1600000,217.7500000,213.2800000,216.5700000,625939
20210928,000000,212.0100000,214.0300000,206.5100000,207.0200000,835341
20210929,000000,209.3300000,210.1600000,204.6800000,205.2200000,606902
20210930,000000,207.8900000,210.6500000,206.8900000,207.1200000,537697
20211001,000000,207.7000000,208.4850000,202.0400000,207.2300000,657406
20211004,000000,204.9000000,205.2000000,195.5500000,197.3200000,932200
20211005,000000,199.5000000,206.4800000,198.6000000,204.5100000,736576
20211006,000000,201.0000000,207.2000000,200.8700000,207.0300000,641141
20211007,000000,211.1450000,213.2100000,209.8400000,210.8700000,900494
20211008,000000,211.2700000,212.0100000,207.7800000,208.2500000,406812
20211011,000000,205.8000000,210.5400000,205.2000000,206.8700000,313095
20211012,000000,208.5000000,210.5000000,205.3300000,206.6700000,361607
20211013,000000,209.2500000,209.8700000,207.1400000,209.4100000,373194
20211014,000000,212.8600000,217.5300000,211.3500000,217.4500000,665347
20211015,000000,218.1500000,219.2100000,216.6700000,218.6200000,655815
20211018,000000,217.3000000,222.9000000,216.6500000,222.2100000,553778
20211019,000000,222.8300000,223.7700000,220.3900000,222.9100000,449374
20211020,000000,222.9300000,224.3300000,219.8200000,221.0900000,395796
20211021,000000,221.0300000,227.1000000,220.9300000,226.8300000,544916
20211022,000000,228.3900000,231.2500000,225.6250000,227.2600000,755221
20211025,000000,229.6450000,233.5100000,227.8000000,231.5200000,638405
20211026,000000,239.7800000,252.5900000,239.2500000,247.0500000,1290922
20211027,000000,244.5600000,250.8800000,242.8800000,244.4600000,753918
20211028,000000,248.7800000,249.5000000,245.2600000,249.5000000,643581
20211029,000000,250.0050000,257.0800000,250.0050000,255.6800000,822990
20211101,000000,256.4800000,258.8500000,252.3000000,258.4700000,634691
20211102,000000,258.4000000,266.7600000,258.0300000,264.0100000,763255
20211103,000000,266.7000000,267.7600000,262.4000000,265.9000000,654845
20211104,000000,272.2500000,313.4900000,271.2500000,297.8600000,2948513
20211105,000000,301.8700000,313.2900000,294.2100000,297.4900000,1942770
20211108,000000,301.7800000,310.2600000,299.3200000,308.0300000,913972
20211109,000000,322.8200000,323.0000000,299.7300000,306.4800000,1246566
20211110,000000,293.0400000,308.3600000,287.8800000,294.4100000,1295317
20211111,000000,304.6800000,305.9000000,297.9200000,303.8800000,588851
20211112,000000,300.1700000,306.8000000,296.3150000,303.9000000,897780
20211115,000000,305.7500000,306.4000000,292.4900000,300.3200000,680917
20211116,000000,297.5900000,303.7600000,297.4100000,301.9200000,475517
20211117,000000,305.0200000,305.0500000,288.0000000,292.4700000,830513
20211118,000000,323.3600000,327.5100000,313.3000000,316.6100000,1620826
20211119,000000,322.4300000,330.8600000,319.6500000,330.0000000,1398314
20211122,000000,335.1700000,346.1100000,319.0500000,319.1900000,1500831
20211123,000000,315.3200000,323.5300000,308.8900000,317.5800000,908837
20211124,000000,314.3500000,328.5200000,309.4400000,326.7500000,739861
20211126,000000,325.4300000,327.1000000,313.5400000,315.0900000,580830
20211129,000000,324.2100000,334.1200000,320.5700000,333.8200000,781574
20211130,000000,332.2000000,333.5000000,318.8100000,327.0100000,997497
20211201,000000,332.4100000,332.8500000,313.9200000,314.0700000,905963
20211202,000000,312.1400000,324.7000000,310.3300000,320.9700000,758668
20211203,000000,320.1800000,321.2900000,301.3500000,307.4300000,971228
20211206,000000,297.9800000,302.3500000,280.4800000,300.3300000,1149683
20211207,000000,309.8000000,324.4900000,306.5500000,324.4900000,1014478
20211208,000000,319.8100000,322.9000000,314.5100000,318.2300000,848438
20211209,000000,317.0800000,321.9800000,304.3350000,304.8500000,921401
20211210,000000,311.6300000,313.0400000,298.6100000,302.0800000,1090863
20211213,000000,302.1850000,302.7600000,281.2100000,281.3600000,919632
20211214,000000,276.9900000,286.6100000,272.5000000,283.5600000,982006
20211215,000000,284.0000000,305.0000000,278.9500000,304.7200000,1240334
20211216,000000,311.5300000,311.5300000,280.9700000,284.0000000,1511565
20211217,000000,279.8500000,289.1100000,277.6600000,277.8800000,1043011
20211220,000000,273.0500000,281.3900000,271.5000000,277.3400000,727334
20211221,000000,284.2600000,291.1700000,274.0800000,290.8000000,859155
20211222,000000,288.9200000,295.5000000,285.3850000,294.0300000,746665
20211223,000000,297.4300000,300.5700000,294.5000000,296.2500000,740023
20211227,000000,296.6000000,310.8300000,296.5400000,309.5100000,745138
20211228,000000,313.1400000,313.2600000,300.1900000,303.2200000,745175
20211229,000000,302.7300000,305.3700000,293.7400000,299.9300000,771734
20211230,000000,298.1200000,304.5500000,295.4100000,295.7900000,657599
20211231,000000,296.7300000,300.3000000,293.3500000,293.9800000,622418
