Date,Open,High,Low,Close,Adj Close,Volume
2021-02-19,6.487200,6.487500,6.446700,6.487200,6.487200,0
2021-02-22,6.485800,6.485800,6.451200,6.485800,6.485800,0
2021-02-23,6.463500,6.469500,6.451500,6.463100,6.463100,0
2021-02-24,6.463000,6.463000,6.444300,6.463000,6.463000,0
2021-02-25,6.456000,6.456500,6.442300,6.456000,6.456000,0
2021-02-26,6.453800,6.480700,6.453600,6.453800,6.453800,0
2021-03-01,6.474200,6.474200,6.453500,6.477900,6.477900,0
2021-03-02,6.463200,6.474100,6.460900,6.463200,6.463200,0
2021-03-03,6.469500,6.471100,6.453500,6.469500,6.469500,0
2021-03-04,6.466800,6.470800,6.458100,6.466800,6.466800,0
2021-03-05,6.469000,6.497300,6.463800,6.469000,6.469000,0
2021-03-08,6.495800,6.530100,6.492400,6.495700,6.495700,0
2021-03-09,6.524600,6.542200,6.503400,6.524600,6.524600,0
2021-03-10,6.505600,6.516000,6.494600,6.505600,6.505600,0
2021-03-11,6.504900,6.505200,6.483600,6.504900,6.504900,0
2021-03-12,6.492700,6.507600,6.471600,6.493000,6.493000,0
2021-03-15,6.498500,6.508900,6.488900,6.498500,6.498500,0
2021-03-16,6.498900,6.505600,6.489800,6.498900,6.498900,0
2021-03-17,6.504900,6.506600,6.489500,6.505000,6.505000,0
2021-03-18,6.503200,6.509600,6.482900,6.502600,6.502600,0
2021-03-19,6.504800,6.517200,6.499000,6.504800,6.504800,0
2021-03-22,6.499000,6.511100,6.499000,6.499000,6.499000,0
2021-03-23,6.506300,6.516600,6.499000,6.506300,6.506300,0
2021-03-24,6.515500,6.525500,6.511800,6.514900,6.514900,0
2021-03-25,6.514700,6.545800,6.514700,6.514600,6.514600,0
2021-03-26,6.545400,6.545400,6.530100,6.544800,6.544800,0
2021-03-29,6.540500,6.572000,6.540400,6.540500,6.540500,0
2021-03-30,6.568600,6.573900,6.555800,6.568700,6.568700,0
2021-03-31,6.571000,6.571300,6.543500,6.571000,6.571000,0
2021-04-01,6.551700,6.576400,6.551700,6.551200,6.551200,0
2021-04-02,6.564400,6.567100,6.558700,6.564400,6.564400,0
2021-04-05,6.566500,6.566700,6.565700,6.566500,6.566500,0
2021-04-06,6.565900,6.566100,6.538500,6.565900,6.565900,0
2021-04-07,6.538500,6.545100,6.533000,6.538500,6.538500,0
2021-04-08,6.541000,6.551300,6.540600,6.541000,6.541000,0
2021-04-09,6.550000,6.560300,6.543600,6.550000,6.550000,0
2021-04-12,6.552000,6.558900,6.534400,6.552000,6.552000,0
2021-04-13,6.547900,6.552000,6.537500,6.547900,6.547900,0
2021-04-14,6.542600,6.543500,6.519600,6.542600,6.542600,0
2021-04-15,6.528100,6.540200,6.517600,6.528100,6.528100,0
2021-04-16,6.521800,6.532700,6.510300,6.521300,6.521300,0
2021-04-19,6.511100,6.530300,6.497800,6.511100,6.511100,0
2021-04-20,6.509300,6.509300,6.484500,6.509300,6.509300,0
2021-04-21,6.498500,6.500800,6.484400,6.498500,6.498500,0
2021-04-22,6.490000,6.492500,6.477400,6.490000,6.490000,0
2021-04-23,6.490300,6.498400,6.480900,6.490300,6.490300,0
2021-04-26,6.494400,6.494400,6.479200,6.494400,6.494400,0
2021-04-27,6.484500,6.489400,6.473100,6.484500,6.484500,0
2021-04-28,6.482100,6.489200,6.468900,6.482100,6.482100,0
2021-04-29,6.477900,6.478000,6.457900,6.477900,6.477900,0
2021-04-30,6.471200,6.475200,6.457200,6.471200,6.471200,0
2021-05-03,6.473500,6.473500,6.472500,6.473500,6.473500,0
2021-05-04,6.472800,6.472900,6.472800,6.472800,6.472800,0
2021-05-05,6.472800,6.472800,6.472100,6.472800,6.472800,0
2021-05-06,6.473000,6.482300,6.453800,6.473000,6.473000,0
2021-05-07,6.463200,6.464700,6.425100,6.463200,6.463200,0
2021-05-10,6.431500,6.432500,6.403700,6.431500,6.431500,0
2021-05-11,6.415100,6.431400,6.414900,6.415100,6.415100,0
2021-05-12,6.428400,6.456000,6.426700,6.428300,6.428300,0
2021-05-13,6.455200,6.456400,6.443700,6.455200,6.455200,0
2021-05-14,6.450900,6.451200,6.420300,6.450900,6.450900,0
2021-05-17,6.436100,6.442600,6.427500,6.436100,6.436100,0
2021-05-18,6.438200,6.438400,6.412700,6.438200,6.438200,0
2021-05-19,6.424200,6.438300,6.415900,6.424200,6.424200,0
2021-05-20,6.434000,6.441600,6.431500,6.434000,6.434000,0
2021-05-21,6.433900,6.435700,6.422700,6.433900,6.433900,0
2021-05-24,6.433200,6.438400,6.414000,6.433200,6.433200,0
2021-05-25,6.418300,6.418600,6.397100,6.418300,6.418300,0
2021-05-26,6.410000,6.410000,6.385900,6.410000,6.410000,0
2021-05-27,6.390700,6.395900,6.372000,6.390700,6.390700,0
2021-05-28,6.382000,6.383400,6.359100,6.382000,6.382000,0
2021-05-31,6.367400,6.372900,6.351800,6.367400,6.367400,0
2021-06-01,6.369000,6.383100,6.361500,6.369000,6.369000,0
2021-06-02,6.380700,6.389900,6.372700,6.380700,6.380700,0
2021-06-03,6.380100,6.402800,6.375800,6.380100,6.380100,0
2021-06-04,6.402700,6.411100,6.392300,6.402700,6.402700,0
2021-06-07,6.394300,6.401700,6.385400,6.394300,6.394300,0
2021-06-08,6.396300,6.399500,6.382900,6.396300,6.396300,0
2021-06-09,6.399500,6.400000,6.375200,6.399500,6.399500,0
2021-06-10,6.386500,6.394500,6.373400,6.386500,6.386500,0
2021-06-11,6.392300,6.397900,6.376500,6.392300,6.392300,0
2021-06-14,6.397700,6.397700,6.397200,6.397700,6.397700,0
2021-06-15,6.397200,6.406300,6.393100,6.397200,6.397200,0
2021-06-16,6.405000,6.405000,6.392600,6.405000,6.405000,0
2021-06-17,6.396700,6.448100,6.396200,6.396700,6.396700,0
2021-06-18,6.447700,6.452100,6.429200,6.447400,6.447400,0
2021-06-21,6.452100,6.470300,6.447100,6.452100,6.452100,0
